p,official_penalty,official_accept_payoff,official_prefers_accept
0.09,480,-23.199999999999996,False
0.09,485,-23.65,False
0.09,490,-24.1,False
0.09,495,-24.549999999999997,False
0.09,500,-25.0,False
0.1,0,20.0,True
0.1,5,19.5,True
0.1,10,19.0,True
0.1,15,18.5,True
0.1,20,18.0,True
0.1,25,17.5,True
0.1,30,17.0,True
0.1,35,16.5,True
0.1,40,16.0,True
0.1,45,15.5,True
0.1,50,15.0,True
0.1,55,14.5,True
0.1,60,14.0,True
0.1,65,13.5,True
0.1,70,13.0,True
0.1,75,12.5,True
0.1,80,12.0,True
0.1,85,11.5,True
0.1,90,11.0,True
0.1,95,10.5,True
0.1,100,10.0,True
0.1,105,9.5,True
0.1,110,9.0,True
0.1,115,8.5,True
0.1,120,8.0,True
0.1,125,7.5,True
0.1,130,7.0,True
