firm_id,tender_id,propensity_to_bribe,failure_lambda,eligible_loser,round,regime
T082_F5,82,0.5,0.30851703406813624,True,1,Pre-reform
T083_F1,83,0.5,0.30897795591182364,True,1,Pre-reform
T083_F2,83,0.5,0.30943887775551104,True,1,Pre-reform
T083_F3,83,0.625,0.3098997995991984,True,1,Pre-reform
T083_F4,83,0.5,0.31036072144288573,True,1,Pre-reform
T083_F5,83,0.5,0.31082164328657313,False,1,Pre-reform
T084_F1,84,0.5,0.31128256513026054,False,1,Pre-reform
T084_F2,84,0.625,0.3117434869739479,True,1,Pre-reform
T084_F3,84,0.5,0.3122044088176352,True,1,Pre-reform
T084_F4,84,0.5,0.3126653306613226,True,1,Pre-reform
T084_F5,84,0.5,0.31312625250501,True,1,Pre-reform
T085_F1,85,0.625,0.3135871743486974,True,1,Pre-reform
T085_F2,85,0.5,0.3140480961923847,True,1,Pre-reform
T085_F3,85,0.5,0.3145090180360721,True,1,Pre-reform
T085_F4,85,0.5,0.3149699398797595,True,1,Pre-reform
T085_F5,85,0.5,0.31543086172344686,False,1,Pre-reform
T086_F1,86,0.5,0.31589178356713427,True,1,Pre-reform
T086_F2,86,0.5,0.3163527054108216,True,1,Pre-reform
T086_F3,86,0.5,0.316813627254509,True,1,Pre-reform
T086_F4,86,0.625,0.3172745490981964,True,1,Pre-reform
T086_F5,86,0.5,0.31773547094188376,False,1,Pre-reform
